Muestra,Dato__1,Dato__2,Dato__3,Dato__4,Dato__5,Dato__6,Dato__7,Dato__8,Dato__9,Dato__10,Dato__11,Dato__12,Dato__13,Dato__14,Dato__15,Dato__16,Dato__17,Dato__18,Dato__19,Dato__20,Dato__21,Dato__22,Dato__23,Dato__24,Dato__25,Dato__26,Dato__27,Dato__28,Dato__29,Dato__30
Muestra__203,43,22,29,34,27,26,65,55,33,44,33,34,22,30,22,44,31,32,31,26,44,29,38,32,30,46,23,26,25,38
Muestra__204,40,40,48,34,40,46,28,47,63,52,34,65,58,42,38,26,38,33,26,58,53,35,22,33,46,35,45,33,48,25
Muestra__205,32,26,28,NA,55,26,31,35,46,49,36,40,35,31,27,47,26,28,35,33,37,31,34,40,22,40,29,24,40,25
Muestra__206,27,29,65,32,40,28,45,25,52,22,31,30,44,30,28,40,28,31,52,37,25,27,40,31,40,32,32,26,40,55
Muestra__207,32,34,32,29,31,53,24,23,33,35,46,36,52,24,35,28,22,35,44,54,30,34,26,27,22,27,40,35,NA,31
Muestra__208,40,27,19,38,26,36,25,27,45,38,44,46,44,29,31,31,32,35,22,30,42,27,45,33,30,23,25,39,28,24
Muestra__209,27,49,32,42,34,34,32,24,34,NA,40,65,40,35,33,31,55,35,31,22,44,37,31,34,24,40,33,25,NA,35
Muestra__210,35,38,43,NA,44,65,55,28,44,33,29,25,35,52,32,33,45,58,54,40,25,27,46,40,24,40,35,31,55,28
Muestra__211,65,31,46,36,35,55,NA,37,33,26,54,44,25,45,33,40,31,40,34,58,50,58,52,26,42,46,35,53,27,36
Muestra__212,39,36,35,36,31,30,44,28,42,55,26,NA,38,36,33,46,40,42,35,23,50,40,35,26,27,32,36,32,45,29
Muestra__213,32,37,55,36,47,31,38,31,30,42,40,46,33,35,25,32,28,36,58,31,43,33,40,54,33,26,36,34,37,36
Muestra__214,32,37,NA,29,34,52,35,35,24,39,33,48,40,28,24,31,22,40,26,24,31,27,19,26,65,28,45,24,33,31
Muestra__215,27,50,47,44,55,30,32,31,30,23,32,45,26,31,26,29,24,24,34,31,33,28,65,40,52,37,34,49,36,34
Muestra__216,40,55,40,22,35,38,43,44,33,36,43,44,28,45,29,27,37,35,42,54,23,35,22,46,40,55,33,31,34,27
Muestra__217,33,22,42,40,46,46,44,53,32,45,40,43,58,31,55,26,34,29,35,39,19,33,24,38,40,31,22,29,50,44
Muestra__218,27,55,22,31,43,35,33,44,31,40,50,37,33,52,46,38,27,26,28,33,33,30,NA,27,40,34,36,39,40,48
Muestra__219,36,46,35,42,27,53,27,29,40,34,31,39,35,44,34,40,23,38,65,32,29,NA,34,42,44,22,33,35,28,46
Muestra__220,24,39,63,32,40,31,35,36,35,33,29,35,NA,50,36,65,19,24,31,33,52,46,33,27,55,65,44,58,32,30
Muestra__221,42,24,34,32,39,40,24,38,31,36,31,25,50,45,35,27,32,33,29,25,33,40,31,31,30,55,27,37,44,25
Muestra__222,34,46,29,35,55,33,30,34,39,35,32,40,26,35,42,58,27,43,47,53,30,22,65,33,32,34,31,34,31,33
Muestra__223,31,NA,28,31,29,40,22,63,31,24,26,43,NA,31,34,40,58,35,33,38,32,35,39,33,31,22,47,39,23,33
Muestra__224,40,46,33,32,35,31,32,26,47,42,37,26,28,23,43,48,34,31,58,24,39,32,46,31,36,25,39,65,38,34
Muestra__225,38,32,38,35,42,31,25,55,32,27,42,42,40,44,31,44,50,39,25,43,24,40,55,31,46,29,33,40,46,26
Muestra__226,32,NA,55,32,27,25,46,34,58,33,42,31,40,33,31,54,40,27,31,27,65,63,49,33,45,28,27,35,26,31
Muestra__227,58,39,33,35,58,31,24,22,26,32,55,40,43,32,28,38,35,32,34,37,38,31,48,24,37,34,31,44,36,26
Muestra__228,65,30,34,34,46,37,45,40,31,55,28,34,35,58,28,24,52,48,40,34,29,31,26,44,25,34,36,31,29,22
Muestra__229,35,40,35,49,31,32,37,34,30,32,39,65,25,44,44,34,65,32,42,34,28,31,52,46,55,32,31,36,46,25
Muestra__230,24,46,31,28,44,40,34,27,31,34,65,39,34,33,55,NA,36,27,54,37,31,26,32,27,40,33,39,30,40,37
Muestra__231,35,31,32,33,38,34,32,42,26,53,31,32,33,47,37,35,31,50,29,25,25,63,33,35,NA,23,58,30,65,40
Muestra__232,27,31,34,44,40,24,58,45,26,40,29,42,38,24,32,40,26,27,28,36,65,55,30,63,31,25,27,31,48,32
Muestra__233,40,34,45,42,40,35,55,42,52,45,44,25,34,26,46,38,34,50,65,46,45,28,24,27,36,26,55,35,33,63
Muestra__234,46,19,29,36,28,48,31,24,52,30,40,35,31,40,22,32,31,28,35,50,29,30,28,35,55,22,25,24,65,32
Muestra__235,40,36,28,33,40,35,42,30,26,37,27,49,35,31,27,25,31,27,30,36,31,60,40,50,65,29,45,35,36,34
Muestra__236,31,40,43,34,29,40,40,34,29,35,53,58,35,40,24,22,NA,43,32,27,34,32,32,29,30,33,54,65,33,32
Muestra__237,31,31,58,28,40,35,34,34,33,NA,48,63,52,60,26,44,32,27,38,32,32,54,40,35,26,34,29,35,65,46
Muestra__238,23,32,40,60,53,34,24,42,34,55,24,25,46,49,34,54,31,28,24,19,65,40,65,50,45,34,29,42,26,35
Muestra__239,45,38,40,33,25,40,31,40,39,30,33,52,27,NA,27,27,28,31,24,38,46,38,43,28,48,27,29,54,34,35
Muestra__240,42,40,58,31,19,34,24,65,27,30,33,43,28,46,44,26,25,44,34,25,32,31,33,27,52,46,29,26,26,32
Muestra__241,60,53,36,NA,30,45,24,26,34,33,24,46,26,37,40,33,32,32,35,31,33,45,24,25,27,24,24,29,44,22
Muestra__242,38,22,55,26,31,34,26,25,36,36,37,50,42,54,43,45,35,48,31,29,35,34,40,34,30,26,NA,32,34,25
Muestra__243,58,33,40,40,40,26,55,NA,34,29,32,36,34,44,42,31,40,42,30,45,36,28,35,34,38,30,35,46,34,25
Muestra__244,33,35,58,28,32,38,42,40,40,24,55,24,33,31,32,50,27,46,24,31,34,29,36,40,22,39,49,35,34,33
Muestra__245,43,34,60,33,46,38,19,34,32,29,35,33,27,25,26,27,37,26,24,33,32,39,33,46,22,34,53,23,42,24
Muestra__246,65,42,54,35,46,26,46,23,44,24,40,32,45,52,40,34,30,55,43,31,35,50,37,34,25,32,50,28,45,24
Muestra__247,42,65,24,60,31,58,50,25,35,34,44,35,27,46,28,31,33,31,24,58,36,32,32,34,38,29,55,55,28,34
Muestra__248,58,54,28,29,40,32,27,29,33,36,25,19,27,44,24,35,45,39,31,31,29,NA,40,42,32,34,30,31,38,35
Muestra__249,31,45,29,38,35,29,36,47,42,31,34,52,33,37,29,31,53,24,38,26,26,31,50,31,26,25,31,43,58,39
Muestra__250,35,24,25,36,46,35,46,50,22,38,25,40,31,36,36,55,37,27,52,35,30,47,34,32,33,27,44,31,33,38
Muestra__251,47,44,33,49,53,55,34,24,33,31,65,26,42,32,34,29,27,65,26,38,52,NA,44,33,42,46,31,63,45,40
Muestra__252,29,24,31,36,27,46,55,36,35,49,53,22,22,35,40,22,35,40,33,28,40,33,46,25,31,34,27,36,32,39
Muestra__253,58,53,34,37,22,35,24,43,60,37,55,31,36,52,36,25,34,46,29,50,32,65,34,35,35,22,31,35,37,28
Muestra__254,65,40,26,58,58,27,52,30,38,40,40,48,23,49,42,55,31,46,27,22,31,31,54,25,31,35,30,26,35,34
Muestra__255,27,60,24,27,45,50,40,38,29,55,34,24,35,40,46,31,43,40,34,29,NA,28,52,40,30,33,30,47,19,32
Muestra__256,60,33,36,27,34,30,36,34,24,36,40,31,46,46,34,38,48,40,45,24,36,43,44,23,30,42,31,NA,31,22
Muestra__257,48,38,31,27,58,63,25,42,44,26,55,31,31,26,24,40,47,43,44,37,28,52,42,38,27,35,35,33,39,NA
Muestra__258,30,36,46,55,24,32,37,53,33,37,48,46,33,35,49,35,32,34,43,38,NA,NA,35,33,25,52,40,25,58,27
Muestra__259,48,60,49,44,32,53,33,40,33,50,58,29,37,25,32,54,30,39,35,29,27,26,34,33,45,NA,47,33,40,31
Muestra__260,29,31,31,33,37,55,53,30,34,30,40,33,52,44,24,32,32,24,52,44,33,35,48,25,24,31,40,45,47,46
Muestra__261,43,37,33,27,22,39,31,55,27,45,24,31,36,32,35,35,29,29,31,55,22,NA,27,34,46,46,24,32,46,31
Muestra__262,34,38,34,31,34,44,27,30,35,35,40,33,24,40,19,48,32,34,NA,38,44,43,22,58,31,29,28,33,33,26
Muestra__263,35,27,35,28,40,30,46,NA,32,24,35,22,58,31,40,28,35,31,34,26,30,46,25,29,33,27,27,34,55,40
Muestra__264,40,36,35,37,32,53,35,45,46,32,27,35,29,55,32,33,24,50,42,44,54,33,NA,37,28,31,65,55,26,36
Muestra__265,23,39,31,33,33,28,37,22,32,27,60,35,34,29,37,35,40,29,42,46,31,31,53,35,25,22,33,26,26,47
Muestra__266,48,35,27,30,32,52,46,37,36,50,31,27,27,33,45,22,29,40,55,33,31,30,29,42,36,37,24,38,24,39
Muestra__267,48,35,31,31,32,65,60,35,44,48,58,26,46,27,40,29,34,37,44,NA,25,36,63,34,34,31,26,33,42,38
Muestra__268,53,55,40,27,45,33,30,65,24,33,28,49,46,55,38,39,35,33,42,25,35,37,27,45,24,NA,34,19,32,55
Muestra__269,46,34,42,39,48,34,29,50,35,35,27,44,27,32,34,32,28,36,33,34,58,29,35,40,31,55,35,63,44,34
Muestra__270,55,35,40,46,45,23,19,40,44,49,50,34,46,30,NA,48,35,28,33,34,38,40,65,60,33,27,27,33,31,40
Muestra__271,65,34,31,24,35,38,36,35,50,34,40,34,33,58,33,38,31,31,42,29,35,44,55,29,34,22,37,36,28,40
Muestra__272,36,31,52,28,58,45,44,27,25,27,25,26,46,29,35,42,34,28,24,33,47,53,46,34,45,35,50,55,40,31
Muestra__273,34,33,35,22,26,55,50,22,52,37,35,29,33,22,33,33,47,55,55,29,65,24,42,44,31,35,35,42,NA,34
Muestra__274,33,42,32,44,37,26,35,27,34,27,26,24,43,28,46,34,32,24,31,40,60,45,46,34,35,35,NA,31,32,54
Muestra__275,60,36,42,30,NA,40,52,33,33,39,31,30,24,29,36,25,22,32,33,44,28,35,44,40,46,32,28,45,27,33
Muestra__276,31,54,28,46,39,46,27,22,38,36,22,26,42,40,34,36,53,35,60,33,36,37,37,36,24,31,65,34,25,24
Muestra__277,27,33,55,22,49,48,47,38,24,34,32,36,34,35,40,31,40,42,45,39,35,27,42,27,31,43,27,52,40,22
Muestra__278,33,27,24,32,58,33,26,40,46,40,34,24,42,50,35,40,35,31,40,28,30,34,30,35,37,31,46,44,39,27
Muestra__279,34,49,31,34,34,26,28,31,27,44,33,31,40,46,46,40,24,32,53,30,22,27,24,48,38,28,26,52,35,43
Muestra__280,44,35,36,46,45,32,40,36,33,27,31,34,24,33,24,25,NA,40,50,28,35,22,31,43,24,60,29,37,34,27
Muestra__281,43,45,32,35,44,31,40,32,26,38,27,40,40,37,19,46,40,26,36,54,31,40,40,42,33,63,30,49,25,26
Muestra__282,27,44,42,33,40,36,55,27,24,26,26,35,40,37,54,33,25,36,34,27,31,31,34,24,38,27,31,34,42,26
Muestra__283,65,32,33,31,33,34,29,31,52,31,28,36,35,40,40,60,50,36,55,22,31,63,35,40,35,22,34,48,31,26
Muestra__284,33,26,45,23,39,52,34,28,27,25,26,40,24,31,48,34,31,38,42,24,34,22,31,35,31,37,NA,36,27,25
Muestra__285,52,49,28,39,32,24,31,28,44,46,32,26,65,31,25,28,40,40,36,33,33,19,35,23,40,39,48,31,32,33
Muestra__286,49,34,35,34,25,46,36,26,26,39,24,31,38,32,33,35,31,NA,40,58,32,25,60,32,43,32,40,43,27,28
Muestra__287,36,33,27,32,25,32,36,29,25,38,46,28,65,27,35,31,39,24,28,38,34,42,19,31,33,40,31,50,34,35
Muestra__288,36,40,40,33,45,46,19,40,26,31,37,45,32,28,42,42,44,52,31,38,36,31,23,29,55,63,27,24,40,39
Muestra__289,33,52,31,43,58,27,22,30,35,25,28,40,33,35,49,44,35,29,60,65,40,36,39,36,35,34,31,63,37,40
Muestra__290,31,44,48,23,52,35,31,31,19,32,31,33,25,58,32,65,46,30,52,34,28,45,33,36,35,43,22,53,26,22
Muestra__291,37,65,28,24,31,33,32,32,33,50,55,38,39,35,23,27,31,35,30,32,44,43,31,29,22,40,65,25,31,34
Muestra__292,31,44,40,40,34,31,37,35,37,32,34,40,34,35,50,27,55,43,31,48,40,38,33,55,24,NA,49,35,32,42
Muestra__293,31,32,28,48,45,34,47,24,53,35,40,55,65,36,42,46,32,27,27,27,50,36,43,32,33,33,25,30,27,37
Muestra__294,28,31,NA,46,65,40,42,60,31,31,28,29,50,36,25,40,35,31,45,37,32,34,35,53,34,32,48,44,22,27
Muestra__295,31,46,30,35,34,58,65,32,34,38,43,31,32,26,30,32,39,26,32,NA,26,52,44,55,50,52,27,25,40,24
Muestra__296,22,33,35,50,39,55,45,NA,32,43,28,38,31,50,40,29,58,47,34,NA,27,27,38,40,34,31,35,31,39,46
Muestra__297,35,34,25,22,36,34,26,36,38,31,29,48,35,24,44,29,50,33,26,29,28,32,30,43,37,65,46,33,32,33
Muestra__298,33,26,34,46,36,55,32,36,47,44,35,25,34,42,40,27,55,40,31,49,40,31,28,48,40,50,44,35,38,31
Muestra__299,45,32,31,40,58,32,31,35,34,26,NA,29,25,49,19,31,60,46,30,33,22,NA,58,42,65,24,25,39,30,40
Muestra__300,29,40,27,37,36,27,32,19,31,32,33,40,53,38,35,34,34,24,43,40,26,34,25,36,22,26,30,65,27,28
Muestra__301,50,25,44,32,38,36,38,31,35,55,43,42,34,35,47,35,32,46,28,27,39,23,37,34,40,37,35,34,34,46
Muestra__302,45,48,35,46,42,55,19,48,27,35,26,24,42,36,33,24,22,32,32,34,31,40,25,27,46,45,31,34,37,25
Muestra__303,40,49,35,34,NA,26,26,36,35,33,46,52,48,50,33,34,22,31,45,37,32,31,40,65,44,65,24,33,28,31
Muestra__304,39,55,65,27,47,38,27,46,29,46,37,50,44,26,40,38,35,37,58,31,32,33,25,32,43,48,26,42,36,40
Muestra__305,43,32,54,40,65,27,28,31,19,48,58,33,46,24,34,46,26,40,31,25,52,31,22,36,49,22,50,22,27,37
Muestra__306,31,31,29,25,39,38,35,43,45,28,26,27,35,46,22,40,60,19,34,65,40,40,33,28,32,29,24,44,25,32
Muestra__307,43,34,49,22,36,33,46,30,40,35,40,40,31,50,55,26,34,27,48,30,48,35,31,55,46,24,37,35,34,38
Muestra__308,31,42,46,52,24,37,29,27,37,34,31,29,55,35,27,50,27,55,33,46,26,31,46,36,42,33,31,38,38,33
Muestra__309,46,28,22,34,39,28,46,24,31,24,36,36,33,40,27,28,55,33,63,44,30,38,50,31,35,50,26,45,38,38
Muestra__310,24,26,26,50,36,22,58,34,36,46,34,34,38,39,46,36,26,25,36,48,35,33,42,34,24,31,27,45,35,55
Muestra__311,NA,40,29,39,31,34,65,33,26,38,31,35,27,52,27,40,40,35,63,65,34,35,31,40,36,27,46,30,44,25
Muestra__312,46,50,23,65,58,47,31,44,26,35,38,27,25,37,40,49,33,35,43,48,52,24,31,58,46,34,32,33,33,19
Muestra__313,29,45,33,29,26,49,31,44,45,33,23,31,36,42,35,52,30,34,33,33,40,40,28,55,46,32,53,31,26,22
Muestra__314,26,37,25,26,34,32,45,32,48,30,31,28,30,32,34,40,52,26,31,31,27,40,35,29,45,33,50,42,39,24
Muestra__315,31,38,31,32,30,45,25,24,26,25,34,40,53,50,52,34,43,44,42,38,37,22,NA,46,25,47,40,26,31,34
Muestra__316,35,25,33,31,53,26,19,28,28,58,38,60,55,27,26,26,30,25,33,46,43,34,40,34,49,27,NA,32,43,29
Muestra__317,34,27,40,65,32,26,26,40,35,47,32,23,34,25,39,36,44,28,53,40,27,58,35,31,32,34,33,38,40,35
Muestra__318,33,33,24,31,35,26,27,27,50,37,55,32,32,53,44,29,58,19,26,40,39,31,35,34,22,54,33,25,36,28
Muestra__319,28,46,44,27,37,40,35,31,33,39,65,42,50,34,40,35,30,34,25,35,27,55,29,48,37,31,32,28,24,43
Muestra__320,46,28,42,34,31,NA,27,40,38,38,26,40,42,34,25,33,30,40,36,31,48,55,37,27,44,24,22,32,29,27
Muestra__321,34,24,28,27,33,26,26,43,27,22,65,35,58,NA,28,40,24,25,39,35,32,30,24,27,32,27,40,37,24,35
Muestra__322,42,35,40,31,33,54,50,47,45,24,60,30,36,25,26,34,25,55,40,38,31,NA,24,36,43,52,32,27,27,39
Muestra__323,46,40,50,32,24,25,33,32,34,40,NA,30,55,46,36,24,38,24,55,40,36,42,35,34,40,25,38,37,45,36
Muestra__324,27,25,30,58,31,29,39,40,31,31,35,36,60,36,24,46,34,46,35,42,30,33,40,35,43,40,47,34,27,22
Muestra__325,23,35,65,49,25,NA,45,26,27,43,34,31,31,32,32,50,32,52,28,31,27,43,35,33,40,26,65,35,38,26
Muestra__326,26,45,52,42,35,38,46,34,32,35,34,33,32,22,48,44,28,31,28,50,42,49,27,36,29,35,23,28,24,32
Muestra__327,40,36,35,49,45,42,31,40,39,24,55,50,46,27,26,26,31,40,58,46,35,24,45,27,55,29,31,39,55,30
Muestra__328,34,40,32,44,34,NA,19,31,55,35,31,38,29,26,50,27,65,24,31,30,42,55,32,35,65,36,55,45,60,40
Muestra__329,47,34,37,24,49,26,32,19,24,29,29,27,33,34,40,44,32,33,32,31,46,34,27,25,27,24,55,25,34,45
Muestra__330,25,27,32,32,46,24,23,40,24,29,42,40,NA,25,22,40,39,24,40,30,32,40,35,29,34,31,24,50,27,34
Muestra__331,34,40,48,34,35,35,24,39,45,63,50,31,48,24,40,31,28,55,32,45,65,33,36,37,32,29,24,34,35,25
Muestra__332,24,28,31,46,47,29,33,46,44,30,32,33,36,45,40,37,58,40,33,25,48,32,43,34,53,34,43,27,29,65
Muestra__333,47,31,65,33,25,19,35,26,45,45,54,49,29,26,26,32,28,42,22,27,36,35,31,40,22,43,31,58,44,38
Muestra__334,52,50,55,19,38,44,27,34,36,46,46,40,43,40,28,29,60,27,55,34,39,48,27,27,33,33,26,58,46,32
Muestra__335,26,34,40,35,55,32,33,29,34,40,29,31,35,47,27,65,58,35,50,53,35,63,52,29,36,25,32,31,26,40
Muestra__336,33,60,48,44,34,44,32,29,33,26,34,55,35,40,40,33,31,34,26,33,35,32,30,44,38,50,24,25,22,34
Muestra__337,27,28,35,48,NA,50,29,35,24,27,34,40,60,58,32,33,28,28,29,55,31,58,44,30,47,46,52,65,46,33
Muestra__338,30,46,46,25,35,38,37,26,34,44,31,38,31,37,48,35,25,31,28,19,28,28,50,32,45,49,58,25,47,34
Muestra__339,35,35,32,34,37,33,32,27,37,45,35,40,23,30,40,32,34,29,26,33,40,34,40,58,31,38,43,65,38,45
Muestra__340,33,25,34,34,32,52,26,45,26,39,27,40,26,36,27,NA,34,32,34,28,31,31,52,60,30,25,31,40,55,31
Muestra__341,44,27,34,34,42,24,42,47,27,34,31,40,31,33,27,25,29,40,26,22,33,31,55,34,27,26,NA,NA,32,33
Muestra__342,34,31,53,22,30,42,NA,34,24,40,43,58,34,35,40,31,54,40,32,35,46,60,29,40,45,35,45,34,49,38
Muestra__343,39,42,46,40,32,26,26,34,46,58,31,58,31,27,35,27,34,34,25,33,35,43,48,40,32,26,40,38,30,44
Muestra__344,29,46,25,45,35,34,40,63,42,25,22,19,35,39,27,44,38,26,44,24,24,31,55,27,35,27,37,35,38,25
Muestra__345,40,40,32,50,32,65,43,31,35,50,31,25,31,36,32,26,48,54,44,22,34,32,37,34,36,44,35,65,32,40
Muestra__346,35,24,38,27,35,35,40,30,27,46,27,34,24,32,34,33,36,31,33,28,46,46,55,29,35,28,30,26,32,39
Muestra__347,32,34,30,31,43,33,37,38,34,31,60,28,36,31,40,39,24,26,33,34,22,28,33,35,34,27,55,34,26,40
Muestra__348,36,37,34,27,47,55,32,40,31,30,34,32,35,27,24,45,40,53,28,19,31,29,30,31,45,37,29,26,28,24
Muestra__349,26,31,27,53,32,58,37,42,40,27,35,43,33,NA,45,28,32,33,40,31,36,38,46,32,26,28,30,65,34,47
Muestra__350,NA,38,31,29,42,24,37,49,48,35,27,34,22,35,36,58,27,26,32,46,35,24,55,45,30,24,43,60,36,45
Muestra__351,31,25,58,26,31,31,32,45,24,29,34,24,40,55,35,28,32,50,28,26,22,34,35,40,32,31,58,25,26,34
Muestra__352,27,22,34,63,24,19,27,35,33,30,23,29,33,31,27,34,35,45,33,40,26,22,47,22,34,36,49,52,43,58
Muestra__353,34,35,48,34,40,33,29,27,52,39,46,44,24,42,36,35,24,29,55,36,47,50,40,39,37,40,33,37,28,27
Muestra__354,65,40,32,NA,44,34,36,33,34,32,45,24,35,52,35,31,33,30,26,34,38,32,33,46,29,31,27,47,29,31
Muestra__355,38,40,37,NA,45,24,35,35,38,26,37,35,26,33,58,40,34,28,27,30,29,35,34,65,31,25,26,44,49,33
Muestra__356,30,30,23,52,29,24,32,40,24,34,30,34,44,36,26,33,28,37,47,27,42,31,33,25,45,34,26,36,19,48
Muestra__357,26,32,35,35,34,43,30,22,48,25,28,25,32,33,26,65,35,29,46,58,36,24,31,45,33,55,31,31,33,44
Muestra__358,48,24,35,29,44,28,53,40,33,29,27,34,50,35,25,22,42,31,25,22,26,26,50,35,35,34,31,31,26,34
Muestra__359,52,29,46,31,35,40,43,27,27,29,38,30,33,42,44,35,35,43,46,44,32,22,26,33,34,22,27,40,37,65
Muestra__360,45,30,36,43,50,26,35,48,35,33,26,34,30,60,42,32,31,28,35,31,32,32,30,37,32,53,24,58,26,27
Muestra__361,26,31,34,58,34,42,22,53,36,35,47,60,23,33,49,19,24,36,45,31,42,35,25,33,31,33,38,42,32,27
Muestra__362,46,26,31,50,40,63,55,33,27,24,58,26,55,65,36,48,40,31,30,24,42,28,32,52,37,37,29,65,34,50
Muestra__363,65,28,24,29,31,32,30,35,40,22,37,25,40,27,25,52,33,43,33,40,40,37,46,43,29,26,35,42,31,50
Muestra__364,25,46,47,35,35,36,44,37,49,34,58,26,34,40,32,26,27,22,NA,32,24,35,45,39,31,23,31,38,35,65
Muestra__365,55,45,34,35,39,36,34,44,37,46,38,40,42,31,32,32,27,48,49,45,32,46,31,42,25,28,NA,27,34,32
Muestra__366,40,45,31,37,40,28,37,33,55,53,25,24,34,46,31,34,38,28,40,38,60,55,35,45,35,29,58,36,50,25
Muestra__367,26,NA,19,33,34,33,36,32,34,28,35,27,39,58,24,27,47,46,31,38,43,32,42,65,45,35,23,31,46,45
Muestra__368,55,35,55,58,24,35,22,43,40,22,44,32,52,32,28,24,32,60,33,36,35,44,36,35,33,24,29,35,34,42
Muestra__369,26,25,26,55,52,65,31,25,49,29,43,35,31,27,38,31,35,53,48,54,28,31,28,29,23,22,35,24,40,44
Muestra__370,26,35,39,35,29,27,27,42,29,37,38,22,40,27,34,34,36,33,44,54,48,33,32,31,52,36,29,31,37,22
Muestra__371,31,44,40,32,31,46,29,33,35,25,33,40,31,27,35,40,36,39,40,49,43,38,40,35,33,34,40,38,22,55
Muestra__372,31,58,35,34,31,45,33,31,35,33,33,31,50,34,30,39,55,29,29,26,43,47,60,44,33,45,40,26,35,35
Muestra__373,25,22,40,46,46,29,40,34,29,34,40,31,60,63,26,31,26,25,NA,34,43,42,46,39,36,40,49,32,31,30
Muestra__374,26,25,34,34,31,27,28,46,31,37,60,29,32,29,37,27,24,27,50,22,27,36,42,44,48,34,31,47,32,54
Muestra__375,28,42,33,31,36,55,38,27,33,53,34,34,22,22,32,39,40,26,40,33,23,31,30,58,43,28,46,48,24,44
Muestra__376,37,48,28,32,58,25,54,55,28,46,63,31,29,NA,33,27,43,22,22,27,34,33,42,27,45,40,40,31,39,40
Muestra__377,43,24,24,55,50,34,31,33,33,58,35,NA,40,46,27,35,31,65,44,46,38,46,39,40,33,40,31,22,27,58
Muestra__378,60,22,42,52,NA,34,58,25,43,31,NA,35,38,30,27,35,50,22,36,27,31,31,35,48,24,42,37,55,32,28
Muestra__379,36,58,22,26,27,29,33,22,52,32,19,24,34,28,43,26,58,46,52,48,35,55,26,45,31,31,54,55,35,40
Muestra__380,29,35,40,27,22,35,50,54,27,33,43,26,60,46,35,32,55,25,45,46,34,65,25,42,32,35,31,37,28,35
Muestra__381,22,30,33,32,55,25,40,35,44,31,34,46,38,33,24,29,23,58,40,46,28,35,NA,35,28,31,54,43,27,24
Muestra__382,26,33,27,40,27,52,38,55,43,36,35,36,48,34,NA,38,40,37,31,29,33,36,40,33,35,48,55,36,30,28
Muestra__383,49,25,48,46,35,36,27,37,26,27,24,32,65,34,35,43,33,31,46,36,29,44,38,39,31,22,34,44,28,55
Muestra__384,50,65,23,25,28,25,52,28,31,31,34,43,44,36,30,27,47,32,34,60,46,42,35,33,27,36,58,28,26,46
Muestra__385,38,42,43,26,26,31,26,45,50,37,44,45,22,46,34,40,31,34,30,36,48,22,44,47,34,31,37,34,30,55
Muestra__386,58,31,32,22,50,33,55,29,25,27,43,48,52,24,42,44,40,44,31,36,49,43,37,37,28,35,NA,34,40,40
Muestra__387,24,NA,33,55,65,46,28,22,38,55,38,36,22,27,35,30,24,53,50,31,40,26,31,40,25,32,34,32,28,NA
Muestra__388,35,24,60,34,58,40,40,58,36,32,19,65,31,26,50,23,32,40,31,44,47,29,NA,40,31,40,27,44,65,45
Muestra__389,44,29,27,46,30,NA,29,36,31,25,29,65,24,33,60,55,65,26,39,27,48,33,32,35,35,36,40,44,49,37
Muestra__390,53,31,37,24,54,25,35,38,26,40,36,40,24,38,36,NA,27,46,58,31,33,28,22,23,28,48,60,52,28,42
Muestra__391,31,65,NA,35,44,31,55,46,47,34,39,33,55,33,37,22,36,46,33,27,46,38,40,26,26,30,42,25,24,27
Muestra__392,26,34,46,42,60,35,32,50,36,45,26,32,44,50,30,28,22,32,40,24,48,53,22,35,31,38,32,22,52,58
Muestra__393,24,60,44,24,31,37,35,26,45,45,33,58,22,27,55,27,33,33,34,33,35,28,55,28,30,37,23,NA,53,25
Muestra__394,34,27,19,24,46,36,45,46,30,29,43,31,40,39,31,55,46,40,35,36,27,53,27,30,49,24,35,48,58,37
Muestra__395,33,24,32,43,28,50,55,28,38,NA,44,32,27,33,31,24,27,29,58,37,22,48,34,31,24,33,65,49,40,31
Muestra__396,37,44,31,27,35,26,23,NA,32,49,35,35,36,55,30,34,24,42,32,35,55,28,22,44,27,40,24,65,34,40
Muestra__397,44,65,31,34,24,54,48,24,26,26,50,28,22,55,46,25,43,19,36,44,35,43,29,33,32,36,24,33,32,32
Muestra__398,27,22,31,46,19,54,55,46,28,31,48,34,44,NA,44,28,43,27,44,40,27,26,50,55,25,35,25,25,25,46
Muestra__399,19,65,33,34,33,29,28,35,58,37,35,34,27,29,24,55,49,35,27,32,31,52,35,40,48,43,44,24,31,25
Muestra__400,55,35,40,53,37,46,34,34,46,46,35,65,30,31,35,32,47,55,28,38,31,24,29,46,31,31,45,46,27,35
Muestra__401,24,48,40,33,NA,32,26,44,34,45,35,46,38,37,32,34,42,38,33,31,35,49,28,24,27,33,24,50,35,45
Muestra__402,46,33,40,34,26,37,24,35,50,40,30,31,36,28,36,31,35,27,35,27,44,30,65,31,40,32,38,46,26,33
Muestra__403,27,34,45,44,43,22,44,48,27,38,32,30,46,22,26,35,48,46,29,28,27,38,25,36,33,35,34,42,40,32
Muestra__404,47,42,30,26,28,26,23,40,31,31,54,33,31,36,63,31,38,34,36,35,40,45,52,37,27,29,30,26,35,NA
Muestra__405,42,55,27,33,65,49,22,32,26,55,44,58,29,33,28,35,30,36,22,44,40,29,32,39,32,35,60,46,27,27
Muestra__406,33,26,46,27,31,31,27,39,24,40,33,34,24,37,25,52,35,50,50,55,45,36,29,33,29,44,48,23,NA,35
